年,地區,總計活動個數,總計出席人次,視覺藝術,工藝,設計,音樂,戲劇,舞蹈,說唱,影片,民俗,語文,圖書,綜藝,其他
2015,臺閩地區,53908,247187,5928,2345,1249,9034,4206,1285,115,6910,5409,13163,13163,2488,1776
2015,臺灣地區,53373,246639,5856,2328,1246,8979,4182,1272,115,6876,5273,13123,13123,2465,1658
2015,北部地區,20809,113728,2293,994,632,2957,2062,604,60,3791,2388,3910,3910,715,403
2015,臺北市,6250,56044,1044,189,359,1318,851,202,41,1122,441,434,434,132,117
2015,新北市,5630,30202,391,225,51,381,174,72,7,1266,489,2243,2243,225,106
2015,基隆市,641,1493,112,26,1,62,93,108,0,14,60,81,81,33,51
2015,新竹市,2032,6234,194,278,34,211,92,37,5,614,103,231,231,147,86
2015,桃園市,2919,8609,345,108,62,496,217,60,3,492,494,497,497,108,37
2015,新竹縣,914,4585,125,65,36,107,53,19,2,24,231,210,210,36,6
2015,宜蘭縣,2423,6561,82,103,89,382,582,106,2,259,570,214,214,34,0
2015,中部地區,12428,53002,1646,679,362,1643,925,248,31,1359,1030,3786,3786,610,109
2015,臺中市,6328,33728,623,182,233,710,260,78,8,911,324,2810,2810,93,96
2015,苗栗縣,712,3377,106,134,8,136,58,18,12,30,67,126,126,17,0
2015,彰化縣,2900,9272,560,119,80,465,459,94,8,192,235,374,374,314,0
2015,南投縣,1675,4742,229,194,19,264,66,22,3,156,254,282,282,173,13
2015,雲林縣,813,1883,128,50,22,68,82,36,0,70,150,194,194,13,0
2015,南部地區,17635,73071,1676,583,243,4035,1087,371,19,1491,1459,4670,4670,935,1066
2015,高雄市,7497,43185,649,140,113,2260,355,134,4,633,289,2282,2282,317,321
2015,臺南市,7449,21489,671,324,80,1384,439,157,12,540,829,1940,1940,451,622
2015,嘉義市,735,1628,119,53,15,152,45,16,1,104,59,96,96,29,46
2015,嘉義縣,607,4420,93,10,5,66,81,21,2,93,58,100,100,50,28
2015,屏東縣,1005,1955,88,45,9,126,154,32,0,101,183,201,201,18,48
2015,澎湖縣,342,394,56,11,21,47,13,11,0,20,41,51,51,70,1
2015,東部地區,2501,6838,241,72,9,344,108,49,5,235,396,757,757,205,80
2015,花蓮縣,1340,4238,135,34,2,90,43,23,3,143,161,620,620,32,54
2015,臺東縣,1161,2600,106,38,7,254,65,26,2,92,235,137,137,173,26
2015,福建省,535,511,72,17,3,55,24,13,0,34,136,40,40,23,118
2015,金門縣,395,437,59,11,0,47,12,10,0,4,117,24,24,21,90
2015,連江縣,140,74,13,6,3,8,12,3,0,30,19,16,16,2,28
