年,地區,活動個數總計,出席人次總計,視覺藝術,工藝,設計,音樂,戲劇,舞蹈,說唱,影片,民俗,語文與圖書,綜合,其他
2016,臺閩地區,56107,257250,5701,2090,1457,8003,3859,1137,146,7984,5983,17480,2795,424
2016,臺灣地區,55424,256493,5605,2059,1449,7947,3820,1127,136,7927,5850,17353,2754,349
2016,北部區域,23544,130902,2068,892,596,3096,2022,464,88,4113,2528,6929,645,103
2016,臺北市,6753,55991,818,209,356,1529,839,181,54,1142,464,939,121,101
2016,新北市,8254,32003,401,278,71,356,275,83,6,1386,764,4390,244,0
2016,基隆市,620,1500,112,31,10,101,110,21,4,67,52,94,18,0
2016,新竹市,1688,4506,214,106,36,218,94,46,9,540,154,216,54,1
2016,桃園市,3219,26888,315,57,41,411,215,53,10,726,418,868,105,0
2016,新竹縣,928,4026,109,56,34,133,108,14,0,30,198,185,60,1
2016,宜蘭縣,2082,5988,99,155,48,348,381,66,5,222,478,237,43,0
2016,中部區域,12599,47182,1620,470,447,1581,883,262,20,1757,712,3889,958,0
2016,臺中市,6446,27393,629,131,349,570,309,75,2,1036,123,2934,288,0
2016,苗栗縣,749,2015,126,44,2,150,55,35,9,73,63,98,94,0
2016,彰化縣,2767,8854,503,89,57,497,326,107,3,315,240,335,295,0
2016,南投縣,1678,7112,219,167,35,276,75,24,3,164,213,321,181,0
2016,雲林縣,959,1808,143,39,4,88,118,21,3,169,73,201,100,0
2016,南部區域,16314,69218,1630,547,365,2918,835,345,22,1851,1546,5462,785,8
2016,高雄市,6767,39588,546,203,134,1294,273,120,5,698,386,2790,318,0
2016,臺南市,6458,21185,678,265,179,1180,316,145,11,560,785,2079,258,2
2016,嘉義市,682,1681,112,30,9,127,39,13,2,217,40,59,31,3
2016,嘉義縣,641,3236,91,15,17,97,59,17,1,174,46,71,50,3
2016,屏東縣,1404,3133,141,29,3,179,134,37,2,182,240,385,72,0
2016,澎湖縣,362,395,62,5,23,41,14,13,1,20,49,78,56,0
2016,東部區域,2967,9191,287,150,41,352,80,56,6,206,1064,1073,366,238
2016,花蓮縣,1465,5488,155,46,11,83,41,14,4,124,532,669,43,88
2016,臺東縣,1502,3703,132,104,30,269,39,42,2,82,266,150,241,0
2016,福建省,683,757,96,31,8,56,39,10,10,57,133,127,41,75
2016,金門縣,529,696,84,20,8,46,24,9,10,39,109,78,35,67
2016,連江縣,154,61,12,11,0,10,15,1,0,18,24,49,6,8
